v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.005721,0.012552,0.0017275,0.96827,0.78063,0.7565,0.0049352,0.012651,0.0024137,0.58579,0.48443,0.44103,95.341,66.445,80.893
0.010485,0.001074,0.0084413,0.82512,0.1575,0.13497,0.010819,0.001733,0.0074478,0.86526,0.11245,0.075602,94.537,95.043,94.79
0.018857,0.00011823,0.0010247,0.64822,0.51795,0.22879,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,87.255,86.368,86.811
0.0098504,0.00029958,0.00985,0.78632,0.45014,0.33386,0.0074884,0.0040776,0.008434,0.74413,0.45136,0.30142,79.399,96.685,88.042
0.0015321,0.014537,0.0039306,0.59675,0.31683,0.29279,0.0031303,0.013159,0.003711,0.56216,0.50032,0.39106,90.569,86.631,88.6
0.019721,0.00027198,6.89E-06,0.65238,0.49166,0.10146,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,84.771,80.059,82.415
0.017228,0.0018238,0.00094859,0.5511,0.3199,0.30822,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,97.439,94.558,95.999
0.016897,0.0023365,0.000766,0.85152,0.21001,0.008388,0.015542,0.0031606,0.0012975,0.58882,0.18557,0.14619,92.632,80.943,86.787
0.0092423,0.0012627,0.0094951,0.58081,0.2438,0.1624,0.0097609,0.0029838,0.0072552,0.72698,0.36392,0.25017,87.277,87.737,87.507
0.019463,0.00015015,0.00038676,0.7657,0.71263,0.11877,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,85.487,71.713,78.6
0.015785,0.000434,0.003781,0.94181,0.49185,0.47912,0.014594,0.0016913,0.0037152,0.55112,0.33302,0.33036,92.283,71.847,82.065
0.015122,0.0035246,0.0013533,0.5013,0.10307,0.026837,0.015542,0.0031606,0.0012975,0.58882,0.18557,0.14619,97.517,90.076,93.796
0.0015991,0.013531,0.0048702,0.91133,0.31294,0.042603,0.0051817,0.011981,0.0028378,0.96615,0.39486,0.048266,80.635,93.801,87.218
0.013318,0.0055492,0.001133,0.83681,0.1167,0.044209,0.013413,0.0053307,0.001256,0.72288,0.060992,0.060831,98.82,91.796,95.308
0.013567,0.0033188,0.0031139,0.98903,0.26479,0.22955,0.013418,0.0036656,0.0029167,0.73734,0.066002,0.034699,98.125,78.172,88.149
0.0074751,0.0017113,0.010814,0.54135,0.39996,0.14881,0.0073937,0.0028771,0.0097292,0.77857,0.61295,0.24949,92.902,79.99,86.446
0.0076103,0.0037438,0.0086458,0.64726,0.16817,0.077941,0.0074884,0.0040776,0.008434,0.74413,0.45136,0.30142,98.177,77.366,87.771
0.019757,9.36E-05,0.0001494,0.97162,0.16226,0.15009,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,84.244,67.076,75.66
0.015087,0.0042087,0.00070456,0.80119,0.086022,0.03918,0.013413,0.0053307,0.001256,0.72288,0.060992,0.060831,90.781,94.474,92.627
0.013092,0.00039745,0.0065108,0.51063,0.14798,0.13784,0.01342,0.0025388,0.0040414,0.61523,0.2764,0.25868,85.397,88.122,86.76
0.01028,0.0085076,0.0012121,0.68905,0.60947,0.32593,0.010002,0.0084318,0.001566,0.61106,0.4171,0.34592,97.976,86.366,92.171
0.017852,0.00022073,0.0019272,0.60602,0.42519,0.15364,0.015995,0.0030485,0.00095688,0.55523,0.29378,0.27339,84.476,88.887,86.681
2.79E-05,0.0076754,0.012297,0.66007,0.25964,0.047059,0.0010392,0.0072293,0.011732,0.58148,0.57032,0.47979,94.539,66.626,80.582
0.0041875,0.0093883,0.0064242,0.79723,0.1375,0.12829,0.0046772,0.0093379,0.0059849,1,0.46714,0.10749,97.065,75.49,86.278
0.0011243,0.0038077,0.015068,0.75413,0.57254,0.083621,0.0015699,0.0038434,0.014587,0.73711,0.71662,0.39118,97.077,77.966,87.522
0.018621,0.00058167,0.00079687,0.52825,0.35615,0.099653,0.015995,0.0030485,0.00095688,0.55523,0.29378,0.27339,83.941,87.756,85.848
0.015602,0.0042348,0.00016343,0.84412,0.42073,0.041666,0.016085,0.0033674,0.00054785,0.55075,0.28828,0.27976,95.316,76.077,85.696
0.005755,0.0076654,0.0065796,0.50567,0.14302,0.084323,0.005953,0.0078867,0.0061603,0.76021,0.47067,0.24448,97.74,73.508,85.624
0.003441,0.0028167,0.013742,0.83817,0.47742,0.26338,0.0035968,0.0042947,0.012109,0.70461,0.64797,0.38335,90.174,85.539,87.857
