v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.01335,0.0048632,0.0017868,0.65041,0.21984,0.16143,0.013421,0.0051878,0.0013916,0.64158,0.19824,0.18832,97.708,97.841,97.774
0.019709,0.00020325,8.76E-05,0.54497,0.25654,0.16299,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,80.915,94.278,87.597
0.010505,0.001342,0.0081526,0.63776,0.62953,0.50048,0.0094886,0.00028819,0.010298,0.67289,0.6536,0.33278,88.525,88.325,88.425
0.018667,0.00046449,0.00086882,0.60457,0.41133,0.1462,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,89.014,83.949,86.481
0.0087675,0.010208,0.0010247,0.91679,0.35882,0.26337,0.0087322,0.009748,0.0015198,0.83681,0.27657,0.17877,96.988,91.768,94.378
0.0058132,0.0041445,0.010042,0.6484,0.016108,0.014784,0.0063661,0.003812,0.0098788,0.9502,0.33437,0.27091,97.027,70.562,83.794
0.013721,0.0014711,0.0048083,0.74868,0.59189,0.22506,0.014086,0.0010088,0.0049698,0.60906,0.42727,0.19918,97.333,86.611,91.972
0.0043717,0.011294,0.0043343,0.88642,0.61454,0.38081,0.004388,0.011211,0.0044475,0.79691,0.45548,0.31404,99.368,88.113,93.74
0.015246,0.0024315,0.0023224,0.6647,0.0008934,0.00051875,0.014581,0.0029512,0.002468,0.63409,0.1117,0.097219,96.204,90.856,93.53
0.0034368,0.0032283,0.013335,0.57516,0.2907,0.0050543,0.003464,0.0033362,0.013233,0.88777,0.55179,0.38419,99.336,67.513,83.425
0.0094242,0.00048731,0.010089,0.72113,0.11795,0.067478,0.010104,0.001432,0.0085155,0.81885,0.30569,0.15133,91.422,86.052,88.737
0.016366,0.0003101,0.0033235,0.61642,0.15167,0.053377,0.015162,0.0010472,0.0038428,0.60609,0.16991,0.16456,93.413,92.277,92.845
0.0081817,0.0013502,0.010468,0.70361,0.47559,0.25826,0.0079889,0.0020874,0.01001,0.7532,0.5422,0.2848,96.022,94.741,95.381
0.0071426,0.0085064,0.004351,0.83935,0.11043,0.048545,0.0077213,0.0080218,0.0042569,0.91498,0.23462,0.13375,96.622,90.037,93.329
0.018744,0.00071625,0.00053984,0.78882,0.60313,0.14894,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,89.579,76.193,82.886
0.013877,0.0018054,0.0043175,0.78535,0.49854,0.19886,0.013724,0.002038,0.0043002,0.6108,0.32043,0.22422,98.736,84.586,91.661
0.0049777,0.014051,0.00097146,0.72445,0.38525,0.24457,0.0044478,0.012898,0.0026541,0.72231,0.4658,0.25994,90.695,94.402,92.549
0.013362,0.002914,0.0037236,0.58649,0.40725,0.37668,0.013069,0.0025301,0.0044005,0.52873,0.45205,0.44743,96.341,94.035,95.188
0.0074121,0.008041,0.0045469,0.94484,0.4563,0.28739,0.0074454,0.0080786,0.0045327,0.84446,0.32714,0.23602,99.774,89.675,94.724
0.0093003,0.0011681,0.0095315,0.55656,0.060048,0.026765,0.010104,0.001432,0.0085155,0.81885,0.30569,0.15133,94.169,77.362,85.766
0.018777,0.00077522,0.00044788,0.96483,0.060665,0.018621,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,85.898,72.956,79.427
0.018995,1.04E-05,0.0009943,0.58391,0.44101,0.36773,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,86.503,94.783,90.643
0.012117,0.0040826,0.0038002,0.97143,0.72003,0.5048,0.011704,0.0043977,0.0039728,0.62966,0.42255,0.19441,97.626,68.235,82.93
0.014894,0.0044614,0.0006442,0.98206,0.9643,0.88584,0.014198,0.004696,0.0011062,0.53722,0.46121,0.45901,96.171,53.94,75.055
0.0056696,0.00084013,0.01349,0.9105,0.16345,0.0057097,0.0087991,0.0021183,0.0090826,0.99484,0.16126,0.086653,75.45,92.777,84.114
0.015427,0.0024721,0.0021014,0.66577,0.38496,0.32895,0.015446,0.0023647,0.0021895,0.51227,0.45239,0.45044,99.378,87.602,93.49
0.012848,0.0030048,0.0041477,0.77296,0.14091,0.033293,0.012461,0.0039777,0.0036316,0.75322,0.098645,0.061112,94.813,96.732,95.773
0.0041083,0.0041269,0.011765,0.97132,0.62317,0.51665,0.0039181,0.0045495,0.011572,0.90449,0.51657,0.35483,97.763,87.58,92.672
0.0077752,0.0020588,0.010166,0.87006,0.75938,0.26998,0.0073686,0.002209,0.010487,0.86582,0.68543,0.20082,97.65,93.741,95.696
0.0035766,0.016365,5.87E-05,0.97956,0.15281,0.14195,0.0068233,0.011305,0.0018718,1,0.24007,0.046511,72.317,91.989,82.153
0.0084915,0.0025674,0.0089412,0.5682,0.14783,0.080489,0.0084879,0.0026486,0.0089502,0.79973,0.39255,0.24271,99.594,78.14,88.867
0.0016442,0.010979,0.0073767,0.51459,0.23409,0.077836,0.0016469,0.011135,0.0072865,0.7282,0.58149,0.31922,99.174,72.016,85.595
0.018873,0.00034146,0.00078509,0.71411,0.47205,0.17989,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,88,83.095,85.548
0.0027234,0.0016694,0.015607,0.65258,0.53765,0.33724,0.0028147,0.0019288,0.015306,0.7393,0.62674,0.4384,98.216,90.724,94.47
0.0041187,0.015567,0.00031468,0.71889,0.60041,0.32373,0.004814,0.013257,0.0019289,0.61797,0.4656,0.39735,87.178,89.107,88.143
0.00050254,0.00013306,0.019364,0.89304,0.39954,0.11536,0.0028147,0.0019288,0.015306,0.7393,0.62674,0.4384,78.018,74.615,76.316
0.017264,0.0017957,0.00094069,0.64235,0.41404,0.10913,0.015995,0.0030485,0.00095688,0.55523,0.29378,0.27339,92.058,86.843,89.45
0.0034956,0.0060839,0.010421,0.76877,0.7122,0.53352,0.0035346,0.0060691,0.010462,0.70337,0.56293,0.39163,99.743,87.085,93.414
0.0029547,4.92E-05,0.016996,0.56351,0.51669,0.34728,0.0024917,0.0020245,0.015484,0.65233,0.64687,0.44728,88.792,89.079,88.936
0.0022758,0.017019,0.00070494,0.55969,0.2756,0.099578,0.0044478,0.012898,0.0026541,0.72231,0.4658,0.25994,77.79,82.785,80.287
0.0094,0.00062306,0.0099769,0.66501,0.17591,0.043259,0.010104,0.001432,0.0085155,0.81885,0.30569,0.15133,92.064,86.68,89.372
0.018954,3.40E-05,0.0010125,0.95308,0.35121,0.23269,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,84.608,73.2,78.904
0.019072,8.73E-05,0.0008402,0.84266,0.34755,0.038852,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,84.127,80.205,82.166
0.0098367,0.0046909,0.0054724,0.93853,0.61965,0.17224,0.0095292,0.004553,0.005967,0.77836,0.49988,0.051432,97.328,86.373,91.85
0.013143,0.0044254,0.0024313,0.94861,0.83699,0.28054,0.013614,0.0029881,0.0034709,0.61413,0.53964,0.0076,91.934,69.628,80.781
0.00854,0.0092111,0.0022488,0.96155,0.8334,0.41641,0.0081934,0.0088269,0.0029797,0.70075,0.44231,0.29846,96.061,70.224,83.143
0.01169,0.007685,0.00062529,0.58306,0.21827,0.056622,0.011431,0.0074005,0.0012382,0.69286,0.28107,0,96.766,91.639,94.203
0.01661,0.00023793,0.0031525,0.64052,0.35551,0.22005,0.013724,0.002038,0.0043002,0.6108,0.32043,0.22422,84.232,97.149,90.69
0.0081957,0.0030506,0.0087537,0.70837,0.27064,0.026072,0.0083811,0.0030396,0.0086453,0.86868,0.38493,0.17923,99.015,85.468,92.242
0.0026257,0.010597,0.0067778,0.8281,0.69643,0.34809,0.0024063,0.010753,0.0068768,0.84552,0.57507,0.25912,98.758,90.594,94.676
0.006144,0.0023523,0.011504,0.52438,0.11841,0.043455,0.0057801,0.0026274,0.011656,0.71791,0.42773,0.40552,97.915,69.596,83.756
0.011357,0.0049241,0.003719,0.88939,0.52495,0.058093,0.010604,0.0052042,0.0042664,0.7545,0.37275,0.01394,95.752,87.354,91.553
0.012814,0.00051756,0.0066689,0.68292,0.19621,0.14547,0.012729,0.0018717,0.0054486,0.67761,0.27991,0.15616,91.869,94.191,93.03
0.0013397,0.014129,0.0045313,0.62036,0.14325,0.0017173,0.0036314,0.01248,0.0039754,0.85778,0.50525,0.14577,87.223,72.292,79.757
0.0026495,0.003633,0.013718,0.60709,0.5499,0.15275,0.0027532,0.0039656,0.013281,0.76409,0.7486,0.37623,97.526,80.316,88.921
0.001942,0.014136,0.0039218,0.83376,0.51082,0.17562,0.0036314,0.01248,0.0039754,0.85778,0.50525,0.14577,89.462,97.616,93.539
0.013807,0.0014465,0.0047467,0.65401,0.23368,0.050638,0.013379,0.0011181,0.0054986,0.69437,0.29316,0.069453,95.932,95.448,95.69
0.013546,0.0047505,0.0017039,0.50501,0.17974,0.043129,0.01384,0.004461,0.0016987,0.64629,0.18941,0.16172,98.161,88.562,93.361
0.018552,0.0011047,0.00034315,0.68969,0.4731,0.33064,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,91.276,88.112,89.694
0.011808,0.0078812,0.00031084,0.89067,0.47956,0.045145,0.011431,0.0074005,0.0012382,0.69286,0.28107,0,95.064,82.655,88.86
0.01772,0.00058704,0.0016928,0.73175,0.24206,0.18319,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,90.806,89.129,89.968
0.016057,0.0031667,0.00077631,0.93832,0.082079,0.054821,0.013162,0.0054353,0.0014026,0.80338,-8.09E-14,4.01E-14,83.462,89.809,86.636
0.010048,0.0033394,0.0066122,0.79428,0.27953,0.057784,0.0098431,0.0035291,0.0066859,0.84397,0.2775,0.10671,98.743,95.692,97.218
0.0052431,0.0014558,0.013301,0.57503,0.1846,0.10972,0.0054986,0.0016075,0.01295,0.82458,0.53081,0.3562,98.005,71.153,84.579
0.0030748,0.00106,0.015865,0.50389,0.39014,0.26609,0.0024917,0.0020245,0.015484,0.65233,0.64687,0.44728,94.76,79.422,87.091
0.0024101,0.012652,0.0049383,0.58093,0.069804,0.047547,0.0026078,0.012328,0.0051298,0.91077,0.46494,0.36904,98.175,64.802,81.488
0.0028965,0.00098906,0.016114,0.56747,0.0083875,0.0015862,0.004024,0.001979,0.014053,0.839,0.42379,0.41167,88.826,62.305,75.565
0.0014172,0.00070354,0.017879,0.65394,0.33726,0.13271,0.00079507,0.002597,0.016608,0.58041,0.57868,0.49615,89.567,72.487,81.027
0.019904,4.22E-05,5.38E-05,0.57572,0.44794,0.332,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,83.547,94.351,88.949
0.0017529,0.0085839,0.0096632,0.64641,0.26299,0.11315,0.0016975,0.0086482,0.0097013,0.74266,0.56055,0.40115,99.606,74.266,86.936
0.017425,0.001821,0.00075376,0.50715,0.012468,0.0029547,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,92.338,86.815,89.577
0.011965,0.0074417,0.00059298,0.66721,0.29559,0.029305,0.011431,0.0074005,0.0012382,0.69286,0.28107,0,96.253,97.532,96.892
